name,fullname,level,type,category
TOCS,ACM Transactions on Computer Systems,A,Journal,1
TOS,ACM Transactions on Storage,A,Journal,1
TCAD,IEEE Transactions On Computer-Aided Design Of Integrated Circuits And System,A,Journal,1
TC,IEEE Transactions on Computers,A,Journal,1
TPDS,IEEE Transactions on Parallel and Distributed Systems,A,Journal,1
TACO,ACM Transactions on Architecture and Code Optimization,B,Journal,1
TAAS,ACM Transactions on Autonomous and Adaptive Systems,B,Journal,1
TODAES,ACM Transactions on Design Automation of Electronic Systems,B,Journal,1
TECS,ACM Transactions on Embedded Computing Systems,B,Journal,1
TRETS,ACM Transactions on Reconfigurable Technology and Systems,B,Journal,1
TVLSI,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,B,Journal,1
JPDC,Journal of Parallel and Distributed Computing,B,Journal,1
JSA,Journal of Systems Architecture: Embedded Software Design,B,Journal,1
PARCO,Parallel Computing,B,Journal,1
,Performance Evaluation: An International Journal,B,Journal,1
JETC,ACM Journal on Emerging Technologies in Computing Systems,C,Journal,1
,Concurrency and Computation: Practice and Experience,C,Journal,1
DC,Distributed Computing,C,Journal,1
FGCS,Future Generation Computer Systems,C,Journal,1
TCC,IEEE Transactions on Cloud Computing,C,Journal,1
Integration,"Integration, the VLSI Journal",C,Journal,1
JETTA,Journal of Electronic Testing-Theory and Applications,C,Journal,1
JGC,The Journal of Grid computing,C,Journal,1
MICPRO,Microprocessors and Microsystems: Embedded Hardware Design,C,Journal,1
RTS,Real-Time Systems,C,Journal,1
TJSC,The Journal of Supercomputing,C,Journal,1
PPoPP,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,A,Meeting,1
FAST,Conference on File and Storage Technologies,A,Meeting,1
DAC,Design Automation Conference,A,Meeting,1
HPCA,High-Performance Computer Architecture,A,Meeting,1
MICRO,IEEE/ACM International Symposium on Microarchitecture,A,Meeting,1
SC,"International Conference for High Performance Computing, Networking, Storage, and Analysis",A,Meeting,1
ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,A,Meeting,1
ISCA,International Symposium on Computer Architecture,A,Meeting,1
USENIX ATC,USENIX Annul Technical Conference,A,Meeting,1
SOCC,ACM Symposium on Cloud Computing,B,Meeting,1
SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,B,Meeting,1
PODC,ACM Symposium on Principles of Distributed Computing,B,Meeting,1
FPGA,ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,B,Meeting,1
CGO,Code Generation and Optimization,B,Meeting,1
DATE,"Design, Automation & Test in Europe",B,Meeting,1
EuroSys,European Conference on Computer Systems,B,Meeting,1
HOT CHIPS,ACM Symposium on High Performance Chips,B,Meeting,1
CLUSTER,IEEE International Conference on Cluster Computing,B,Meeting,1
ICCD,International Conference on Computer Design,B,Meeting,1
ICCAD,International Conference on Computer-Aided Design,B,Meeting,1
ICDCS,International Conference on Distributed Computing Systems,B,Meeting,1
CODES+ISSS,International Conference on Hardware/Software Co-design and System Synthesis,B,Meeting,1
HiPEAC,International Conference on High Performance and Embedded Architectures and Compilers,B,Meeting,1
SIGMETRICS,International Conference on Measurement and Modeling of Computer Systems,B,Meeting,1
PACT,International Conference on Parallel Architectures and Compilation Techniques,B,Meeting,1
ICPP,International Conference on Parallel Processing,B,Meeting,1
ICS,International Conference on Supercomputing,B,Meeting,1
VEE,International Conference on Virtual Execution Environments,B,Meeting,1
IPDPS,International Parallel & Distributed Processing Symposium,B,Meeting,1
Performance,"International Symposium on Computer Performance, Modeling, Measurements and Evaluation",B,Meeting,1
HPDC,International Symposium on High Performance Distributed Computing,B,Meeting,1
ITC,International Test Conference,B,Meeting,1
LISA,Large Installation system Administration Conference,B,Meeting,1
MSST,Mass Storage Systems and Technologies,B,Meeting,1
RTAS,Real-Time and Embedded Technology and Applications Symposium,B,Meeting,1
CF,ACM International Conference on Computing Frontiers,C,Meeting,1
SYSTOR,ACM International Systems and Storage Conference,C,Meeting,1
NOCS,ACM/IEEE International Symposium on Networks-on-Chip,C,Meeting,1
ASAP,"Application-Specific Systems, Architectures, and Processors",C,Meeting,1
ASP-DAC,Asia and South Pacific Design Automation Conference,C,Meeting,1
Euro-Par,European Conference on Parallel and Distributed Computing,C,Meeting,1
ETS,European Test Symposium,C,Meeting,1
FPL,Field Programmable Logic and Applications,C,Meeting,1
FCCM,Field-Programmable Custom Computing Machines,C,Meeting,1
GLSVLSI,Great Lakes Symposium on VLSI,C,Meeting,1
ATS,IEEE Asian Test Symposium,C,Meeting,1
HPCC,IEEE International Conference on High Performance Computing and Communications,C,Meeting,1
HiPC,"IEEE International Conference on High Performance Computing, Data and Analytics",C,Meeting,1
MASCOTS,"IEEE International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",C,Meeting,1
ISPA,IEEE International Symposium on Parallel and Distributed Processing with Applications,C,Meeting,1
CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",C,Meeting,1
NPC,IFIP International Conference on Network and Parallel Computing,C,Meeting,1
ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,C,Meeting,1
CASES,"International Conference on Compilers, Architectures, and Synthesis for Embedded Systems",C,Meeting,1
FPT,International Conference on Field-Programmable Technology,C,Meeting,1
ICPADS,International Conference on Parallel and Distributed Systems,C,Meeting,1
ISCAS,International Symposium on Circuits and Systems,C,Meeting,1
ISLPED,International Symposium on Low Power Electronics and Design,C,Meeting,1
ISPD,International Symposium on Physical Design,C,Meeting,1
HotI,Symposium on High-Performance Interconnects,C,Meeting,1
VTS,VLSI Test Symposium,C,Meeting,1
JSAC,IEEE Journal of Selected Areas in Communications,A,Journal,2
TMC,IEEE Transactions on Mobile Computing,A,Journal,2
TON,IEEE/ACM Transactions on Networking,A,Journal,2
TOIT,ACM Transactions on Internet Technology,B,Journal,2
TOMCCAP,"ACM Transactions on Multimedia Computing, Communications and Applications",B,Journal,2
TOSN,ACM Transactions on Sensor Networks,B,Journal,2
CN,Computer Networks,B,Journal,2
TCOM,IEEE Transactions on Communications,B,Journal,2
TWC,IEEE Transactions on Wireless Communications,B,Journal,2
,Ad hoc Networks,C,Journal,2
CC,Computer Communications,C,Journal,2
TNSM,IEEE Transactions on Network and Service Management,C,Journal,2
,IET Communications,C,Journal,2
JNCA,Journal of Network and Computer Applications,C,Journal,2
MONET,Mobile Networks & Applications,C,Journal,2
,Networks,C,Journal,2
PPNA,Peer-to-Peer Networking and Applications,C,Journal,2
WCMC,Wireless Communications & Mobile Computing,C,Journal,2
,Wireless Networks,C,Journal,2
SIGCOMM,"ACM International Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",A,Meeting,2
MobiCom,ACM International Conference on Mobile Computing and Networking,A,Meeting,2
INFOCOM,IEEE International Conference on Computer Communications,A,Meeting,2
NSDI,Symposium on Network System Design and Implementation,A,Meeting,2
SenSys,ACM Conference on Embedded Networked Sensor Systems,B,Meeting,2
CoNEXT,ACM International Conference on emerging Networking EXperiments and Technologies,B,Meeting,2
SECON,IEEE Communications Society Conference on Sensor and Ad Hoc Communications and Networks,B,Meeting,2
IPSN,International Conference on Information Processing in Sensor Networks,B,Meeting,2
MobiSys,"International Conference on Mobile Systems, Applications, and Services",B,Meeting,2
ICNP,International Conference on Network Protocols,B,Meeting,2
MobiHoc,International Symposium on Mobile Ad Hoc Networking and Computing,B,Meeting,2
NOSSDAV,International Workshop on Network and Operating System Support for Digital Audio and Video,B,Meeting,2
IWQoS,International Workshop on Quality of Service,B,Meeting,2
IMC,Internet Measurement Conference,B,Meeting,2
ANCS,Architectures for Networking and Communications Systems,C,Meeting,2
APNOMS,Asia-Pacific Network Operations and Management Symposium,C,Meeting,2
FORTE,Formal Techniques for Networked and Distributed Systems,C,Meeting,2
LCN,IEEE Conference on Local Computer Networks,C,Meeting,2
GLOBECOM,IEEE Global Communications Conference,C,Meeting,2
ICC,IEEE International Conference on Communications,C,Meeting,2
ICCCN,IEEE International Conference on Computer Communications and Networks,C,Meeting,2
MASS,IEEE International Conference on Mobile Ad-hoc and Sensor Systems,C,Meeting,2
P2P,IEEE International Conference on P2P Computing,C,Meeting,2
IPCCC,IEEE International Performance Computing and Communications Conference,C,Meeting,2
WoWMoM,IEEE International Symposium on a World of Wireless Mobile and Multimedia Networks,C,Meeting,2
ISCC,IEEE Symposium on Computers and Communications,C,Meeting,2
WCNC,IEEE Wireless Communications & Networking Conference,C,Meeting,2
Networking,IFIP International Conferences on Networking,C,Meeting,2
IM,IFIP/IEEE International Symposium on Integrated Network Management,C,Meeting,2
MSN,International Conference on Mobile Ad-hoc and Sensor Networks,C,Meeting,2
MSWiM,"International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",C,Meeting,2
WASA,"International Conference on Wireless Algorithms, Systems, and Applications",C,Meeting,2
HotNets,The Workshop on Hot Topics in Networks,C,Meeting,2
TDSC,IEEE Transactions on Dependable and Secure Computing,A,Journal,3
TIFS,IEEE Transactions on Information Forensics and Security,A,Journal,3
,Journal of Cryptology,A,Journal,3
TOPS,ACM Transactions on Privacy and Security,B,Journal,3
,Computers & Security,B,Journal,3
,"Designs, Codes and Cryptography",B,Journal,3
JCS,Journal of Computer Security,B,Journal,3
CLSR,Computer Law and Security Review,C,Journal,3
,EURASIP Journal on Information Security,C,Journal,3
,IET Information Security,C,Journal,3
IMCS,Information Management & Computer Security,C,Journal,3
IJICS,International Journal of Information and Computer Security,C,Journal,3
IJISP,International Journal of Information Security and Privacy,C,Journal,3
JISA,Journal of Information Security and Application,C,Journal,3
SCN,Security and Communication Networks,C,Journal,3
CCS,ACM Conference on Computer and Communications Security,A,Meeting,3
EUROCRYPT,European Cryptology Conference,A,Meeting,3
S&P,IEEE Symposium on Security and Privacy,A,Meeting,3
CRYPTO,International Cryptology Conference,A,Meeting,3
USENIX Security,Usenix Security Symposium,A,Meeting,3
ACSAC,Annual Computer Security Applications Conference,B,Meeting,3
ASIACRYPT,Annual International Conference on the Theory and Application of Cryptology and Information Security,B,Meeting,3
ESORICS,European Symposium on Research in Computer Security,B,Meeting,3
FSE,Fast Software Encryption,B,Meeting,3
CSFW,IEEE Computer Security Foundations Workshop,B,Meeting,3
SRDS,IEEE International Symposium on Reliable Distributed Systems,B,Meeting,3
CHES,International Conference on Cryptographic Hardware and Embedded Systems,B,Meeting,3
DSN,International Conference on Dependable Systems and Networks,B,Meeting,3
RAID,International Symposium on Recent Advances in Intrusion Detection,B,Meeting,3
PKC,International Workshop on Practice and Theory in Public Key Cryptography,B,Meeting,3
NDSS,ISOC Network and Distributed System Security Symposium,B,Meeting,3
TCC,Theory of Cryptography Conference,B,Meeting,3
WiSec,ACM Conference on Security and Privacy in Wireless and Mobile Networks,C,Meeting,3
SACMAT,ACM Symposium on Access Control Models and Technologies,C,Meeting,3
DRM,ACM Workshop on Digital Rights Management,C,Meeting,3
IH&MMSec,ACM Workshop on Information Hiding and Multimedia Security,C,Meeting,3
ACNS,Applied Cryptography and Network Security,C,Meeting,3
AsiaCCS,Asia Conference on Computer and Communications Security,C,Meeting,3
ACISP,AustralasiaConferenceonInformation SecurityandPrivacy,C,Meeting,3
CT-RSA,"RSA Conference, Cryptographers' Track",C,Meeting,3
DIMVA,Detection of Intrusions and Malware &Vulnerability Assessment,C,Meeting,3
DFRWS,Digital Forensic Research Workshop,C,Meeting,3
FC,Financial Cryptography and Data Security,C,Meeting,3
TrustCom,"IEEE International Conference on Trust,Security and Privacy in Computing and Communications",C,Meeting,3
SEC,IFIP International Information Security Conference,C,Meeting,3
IFIP WG 11.9,IFIP WG 11.9 International Conference on Digital Forensics,C,Meeting,3
ISC,Information Security Conference,C,Meeting,3
ICDF2C,International Conference on Digital Forensics & Cyber Crime,C,Meeting,3
ICICS,International Conference on Information and Communications Security,C,Meeting,3
SecureComm,International Conference on Security and Privacy in Communication Networks,C,Meeting,3
NSPW,New Security Paradigms Workshop,C,Meeting,3
PAM,Passive and Active Measurement Conference,C,Meeting,3
PETS,Privacy Enhancing Technologies Symposium,C,Meeting,3
SAC,Selected Areas in Cryptography,C,Meeting,3
SOUPS,Symposium On Usable Privacy and Security,C,Meeting,3
HotSec,USENIX Workshop on Hot Topics in Security,C,Meeting,3
TOPLAS,ACM Transactions on Programming Languages & Systems,A,Journal,4
TOSEM,ACM Transactions on Software Engineering and Methodology,A,Journal,4
TSE,IEEE Transactions on Software Engineering,A,Journal,4
ASE,Automated Software Engineering,B,Journal,4
ESE,Empirical Software Engineering,B,Journal,4
TSC,IEEE Transactions on Service Computing,B,Journal,4
IETS,IET Software,B,Journal,4
IST,Information and Software Technology,B,Journal,4
JFP,Journal of Functional Programming,B,Journal,4
,Journal of Software: Evolution and Process,B,Journal,4
JSS,Journal of Systems and Software,B,Journal,4
RE,Requirements Engineering,B,Journal,4
SCP,Science of Computer Programming,B,Journal,4
SoSyM,Software and System Modeling,B,Journal,4
STVR,"Software Testing, Verification and Reliability",B,Journal,4
SPE,Software: Practice and Experience,B,Journal,4
CL,"Computer Languages, Systems and Structures",C,Journal,4
IJSEKE,International Journal on Software Engineering and Knowledge Engineering,C,Journal,4
STTT,International Journal on Software Tools for Technology Transfer,C,Journal,4
JLAP,Journal of Logic and Algebraic Programming,C,Journal,4
JWE,Journal of Web Engineering,C,Journal,4
SOCA,Service Oriented Computing and Applications,C,Journal,4
SQJ,Software Quality Journal,C,Journal,4
TPLP,Theory and Practice of Logic Programming,C,Journal,4
PLDI,ACM SIGPLAN Symposium on Programming Language Design & Implementation,A,Meeting,4
POPL,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,A,Meeting,4
FSE/ESEC,ACM SIGSOFT Symposium on the Foundation of Software Engineering/ European Software Engineering Conference,A,Meeting,4
SOSP,ACM Symposium on Operating Systems Principles,A,Meeting,4
OOPSLA,"Conference on Object-Oriented Programming Systems, Languages,and Applications",A,Meeting,4
ASE,International Conference on Automated Software Engineering,A,Meeting,4
ICSE,International Conference on Software Engineering,A,Meeting,4
ISSTA,International Symposium on Software Testing and Analysis,A,Meeting,4
OSDI,USENIX Symposium on Operating Systems Design and Implementations,A,Meeting,4
ECOOP,European Conference on Object-Oriented Programming,B,Meeting,4
ETAPS,European Joint Conferences on Theory and Practice of Software,B,Meeting,4
ICPC,IEEE International Conference on Program Comprehension,B,Meeting,4
RE,IEEE International Requirement Engineering Conference,B,Meeting,4
CAiSE,International Conference on Advanced Information Systems Engineering,B,Meeting,4
ICFP,International Conference on Function Programming,B,Meeting,4
LCTES,"International Conference on Languages,Compilers, Tools and Theory for Embedded Systems",B,Meeting,4
MoDELS,International Conference on Model Driven Engineering Languages and Systems,B,Meeting,4
CP,International Conference on Principles and Practice of Constraint Programming,B,Meeting,4
ICSOC,International Conference on Service Oriented Computing,B,Meeting,4
SANER,"International Conference on Software Analysis, Evolution, and Reengineering",B,Meeting,4
ICSME,International Conference on Software Maintenance and Evolution,B,Meeting,4
VMCAI,"International Conference on Verification,Model Checking, and Abstract Interpretation",B,Meeting,4
ICWS,International Conference on Web Services(Research Track),B,Meeting,4
Middleware,International Middleware Conference,B,Meeting,4
SAS,International Static Analysis Symposium,B,Meeting,4
ESEM,International Symposium on Empirical Software Engineering and Measurement,B,Meeting,4
FM,International Symposium on Formal Methods,B,Meeting,4
ISSTA,International Symposium on Software Testing and Analysis,B,Meeting,4
HotOS,USENIX Workshop on Hot Topics in Operating Systems,B,Meeting,4
PEPM,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,C,Meeting,4
PASTE,ACMSIGPLAN-SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,C,Meeting,4
APLAS,Asian Symposium on Programming Languages and Systems,C,Meeting,4
APSEC,Asia-Pacific Software Engineering Conference,C,Meeting,4
EASE,Evaluation and Assessment in Software Engineering,C,Meeting,4
ICECCS,IEEE International Conference on Engineering of Complex Computer Systems,C,Meeting,4
ICST,"IEEE International Conference on Software Testing, Verification and Validation",C,Meeting,4
ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,C,Meeting,4
SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,C,Meeting,4
COMPSAC,International Computer Software and Applications Conference,C,Meeting,4
ICFEM,International Conference on Formal Engineering Methods,C,Meeting,4
TOOLS,"International Conference on Objects, Models, Components, Patterns",C,Meeting,4
SCC,International Conference on Service Computing,C,Meeting,4
ICSSP,International Conference on Software and System Process,C,Meeting,4
SEKE,International Conference on Software Engineering and Knowledge Engineering,C,Meeting,4
QRS,"International Conference on Software Quality, Reliability and Security",C,Meeting,4
ICSR,International Conference on Software Reuse,C,Meeting,4
ICWE,International Conference on Web Engineering,C,Meeting,4
SPIN,International SPIN Workshop on Model Checking of Software,C,Meeting,4
ATVA,International Symposium on Automated Technology for Verification and Analysis,C,Meeting,4
LOPSTR,International Symposium on Logic-based Program Synthesis and Transformation,C,Meeting,4
TASE,International Symposium on Theoretical Aspects of Software Engineering,C,Meeting,4
MSR,Mining Software Repositories,C,Meeting,4
REFSQ,Requirements Engineering: Foundation for Software Quality,C,Meeting,4
WICSA,Working IEEE/IFIP Conference on Software Architecture,C,Meeting,4
TODS,ACM Transactions on Database Systems,A ,Journal,4
TOIS,ACM Transactions on Information Systems,A ,Journal,4
TKDE,IEEE Transactions on Knowledge and Data Engineering,A ,Journal,4
VLDBJ,The VLDB Journal,A ,Journal,4
TKDD,ACM Transactions on Knowledge Discovery from Data,B,Journal,4
TWEB,ACM Transactions on the Web,B,Journal,4
AEI,Advanced Engineering Informatics,B,Journal,4
DKE,Data and Knowledge Engineering,B,Journal,4
DMKD,Data Mining and Knowledge Discovery,B,Journal,4
EJIS,European Journal of Information Systems,B,Journal,4
,GeoInformatica,B,Journal,4
IPM,Information Processing and Management,B,Journal,4
